Rank,Method,WSADE,ADEv,ADEp,ADEb,WSFDE,FDEv,FDEp,FDEb
265,c_27,1.2548,2.1409,0.7431,1.7983,2.3203,3.8583,1.4154,3.3079
266,xriver007_my12_1all_load,1.2549,2.2273,0.7019,1.8288,2.3348,4.0083,1.3317,3.4578
267,13_276,1.2551,2.1435,0.7434,1.7963,2.3467,3.8845,1.4061,3.4285
268,1gatxing-xy6-WS-2lay-e45,1.2551,2.224,0.7195,1.7862,2.3182,4.0138,1.3624,3.2966
269,undefined_41,1.2555,2.1731,0.7321,1.8012,2.3539,3.924,1.4098,3.4156
270,MODEL_30(3),1.2556,2.1605,0.7224,1.8388,2.3676,3.9124,1.3959,3.5249
271,xriver007_1all_e43load,1.2556,2.2266,0.7155,1.7969,2.3536,4.0571,1.3687,3.4014
272,xriver007_1all_e47load,1.2556,2.2266,0.7155,1.7969,2.3536,4.0571,1.3687,3.4014
273,fhgjkhk,1.2559,2.126,0.7618,1.7676,2.3505,3.8824,1.469,3.282
274,MODEL_1_60,1.256,2.1859,0.7214,1.8201,2.3456,3.9392,1.3776,3.449
275,MODEL_20(4),1.2561,2.195,0.7138,1.8323,2.3537,3.9739,1.3654,3.4865
276,78_1,1.2561,2.1759,0.7437,1.7707,2.3701,3.9494,1.4428,3.3789
277,own_55(1),1.2563,2.2028,0.7199,1.8102,2.3341,3.9382,1.3762,3.4013
278,arar,1.2563,2.2294,0.7399,1.7333,2.3475,4.056,1.4184,3.2439
279,13_57,1.2564,2.1818,0.7226,1.8222,2.3309,3.9082,1.3786,3.4074
280,MODEL_25(4),1.2565,2.1805,0.7283,1.8091,2.3642,3.9604,1.4131,3.4206
281,sttr,1.2567,2.2052,0.7138,1.8258,2.3487,3.9792,1.3715,3.4429
282,22_252,1.2568,2.1429,0.7215,1.8624,2.3573,3.8392,1.4063,3.5174
283,dgvcvc,1.2568,2.2276,0.7267,1.7719,2.3641,4.046,1.4016,3.3725
284,own_60,1.257,2.194,0.7214,1.8173,2.3353,3.9192,1.3768,3.4225
285,xriver007_1all_e46load,1.257,2.2454,0.7162,1.7844,2.3458,4.091,1.367,3.3398
286,TypeLW40,1.2572,2.1947,0.7263,1.8044,2.3339,3.9209,1.3853,3.3922
287,GNN_43,1.2573,2.0979,0.7641,1.7932,2.3709,3.8137,1.4767,3.4167
288,xriver007_1all_e44load,1.2573,2.2427,0.7263,1.7614,2.3505,4.0681,1.3954,3.307
289,GNN_42,1.2574,2.1422,0.7676,1.7443,2.3575,3.897,1.4646,3.312
290,GSTP,1.2574,2.2435,0.7018,1.8255,2.3442,4.0454,1.3419,3.4401
291,6_292,1.2574,2.1098,0.7349,1.8599,2.372,3.7948,1.4389,3.5384
292,fnb48,1.2574,2.1404,0.7375,1.8254,2.3856,3.9216,1.4394,3.4838
293,own_50(2),1.2575,2.1832,0.7176,1.8392,2.3574,3.9679,1.3712,3.4935
294,xriver007_1all_e25load,1.2576,2.2359,0.7191,1.7879,2.3458,4.0205,1.3915,3.3392
295,own_30(1),1.2581,2.219,0.7134,1.8207,2.3602,4.0302,1.3696,3.4536
296,fnb288,1.2582,2.2288,0.7215,1.7909,2.3503,4.0628,1.3779,3.357
297,4_247,1.2583,2.1738,0.731,1.8164,2.3497,3.9203,1.4089,3.4021
298,4_254,1.2583,2.1738,0.731,1.8164,2.3497,3.9203,1.4089,3.4021
299,MODEL_80,1.2585,2.2127,0.7108,1.8349,2.3659,4.0197,1.3626,3.5073
300,10_288,1.2587,2.1706,0.7183,1.8542,2.3339,3.9141,1.3486,3.495
301,4_273,1.2589,2.1557,0.7352,1.8244,2.3477,3.8929,1.4032,3.4329
302,MODEL_50,1.259,2.1894,0.7161,1.8444,2.3603,3.9795,1.3679,3.5047
303,glen024,1.259,2.1576,0.7278,1.8426,2.3645,3.9238,1.3893,3.5179
304,glen028,1.2593,2.1113,0.7498,1.8278,2.3599,3.8241,1.4468,3.436
305,glen030,1.2593,2.1113,0.7498,1.8278,2.3599,3.8241,1.4468,3.436
306,1gatxing-xy6-noD-2lay-e36,1.2596,2.214,0.7297,1.7891,2.3142,3.9829,1.3779,3.2656
307,own_70,1.2597,2.2046,0.7181,1.8284,2.3449,3.9675,1.3653,3.4525
308,xriver007_1all_e15load,1.2597,2.2085,0.7275,1.8001,2.3579,3.974,1.3971,3.4217
309,1gatxing-xy6-noD-2lay-e56,1.2597,2.1869,0.7259,1.824,2.3224,3.9532,1.3732,3.3424
310,86_1,1.2598,2.1758,0.748,1.7764,2.3903,3.9793,1.46,3.3985
311,1gatxing-xy6-noD-2lay-e38,1.2598,2.2353,0.7314,1.7659,2.3203,4.0497,1.3821,3.2214
312,fnb39,1.2601,2.1992,0.7351,1.7903,2.3788,4.0123,1.4214,3.4177
313,MODEL_53,1.2602,2.1962,0.7228,1.8262,2.3614,3.9801,1.3907,3.449
314,MODEL_56,1.2603,2.1865,0.724,1.8324,2.3671,3.9851,1.3899,3.4724
315,baseline_t,1.2603,2.1619,0.7274,1.8457,2.3673,3.8863,1.417,3.4915
316,c_22,1.2603,2.1478,0.748,1.8039,2.3341,3.8659,1.4276,3.3314
317,own_20(2),1.2604,2.1806,0.7349,1.8091,2.3477,3.9328,1.4037,3.3953
318,rlennh016,1.2604,2.2013,0.7186,1.8333,2.3503,3.9534,1.3751,3.4638
319,MODEL_34,1.2605,2.2246,0.7181,1.8138,2.3656,4.0485,1.3745,3.4486
320,1gatxing-xy6-WS-2lay-e42,1.2606,2.2197,0.7232,1.8055,2.3248,3.9912,1.3694,3.3287
321,8_276,1.2608,2.1757,0.7339,1.8183,2.3627,3.9489,1.4092,3.4344
322,Runjiang.Zhao,1.2608,2.1862,0.7209,1.8429,2.3288,3.9083,1.3628,3.4396
323,1gatxing-xy6-WS-2lay-e46,1.2609,2.2239,0.7236,1.802,2.3345,4.0163,1.3745,3.3366
324,8_273,1.2611,2.1706,0.7401,1.8077,2.3478,3.9295,1.4003,3.4078
325,STGTP-ai,1.2612,2.2317,0.7112,1.8288,2.3481,3.9993,1.3641,3.4414
326,TypeL4Graph40,1.2612,2.1726,0.7265,1.8424,2.3623,3.9401,1.3788,3.5209
327,22_295,1.2614,2.1326,0.7258,1.8813,2.3607,3.8173,1.4089,3.5456
328,TypeLCon50,1.2614,2.1791,0.7227,1.8475,2.3403,3.9072,1.3797,3.4485
329,rlennh017,1.2615,2.183,0.7322,1.8191,2.3491,3.9129,1.4041,3.419
330,own_35,1.2616,2.1749,0.7398,1.8069,2.3668,3.9591,1.4203,3.4148
331,MODEL_32,1.2617,2.2052,0.7269,1.8141,2.3542,3.9816,1.3905,3.4154
332,MODEL_30(5),1.2617,2.2062,0.7205,1.8299,2.3779,4.003,1.3847,3.519
333,rlennh015,1.2617,2.1929,0.7224,1.837,2.3439,3.9159,1.3824,3.4498
334,MODEL_58,1.2618,2.2032,0.7229,1.8265,2.3557,3.9705,1.3878,3.4396
335,MODEL_40(5),1.2618,2.1956,0.7343,1.8036,2.3742,3.9609,1.4192,3.4496
336,fnb228,1.2618,2.1898,0.7291,1.8224,2.3673,3.9783,1.4055,3.4385
337,MODEL_35(2),1.2619,2.1931,0.7313,1.8142,2.3721,3.9827,1.4091,3.4466
338,glennh0133,1.262,2.1805,0.733,1.8217,2.3487,3.9217,1.3995,3.4211
339,glennh017,1.262,2.1721,0.7304,1.8362,2.3552,3.8937,1.4089,3.4513
340,lstm-baseline,1.2621,2.1548,0.7447,1.8147,2.3521,3.8561,1.4392,3.3914
341,glennh018,1.2624,2.1495,0.7341,1.8486,2.3438,3.8336,1.402,3.4723
342,MODEL_70(4),1.2626,2.2129,0.724,1.8188,2.3817,4.0124,1.4034,3.4783
343,rlennh061,1.2626,2.1578,0.7267,1.8615,2.3677,3.8899,1.3948,3.5487
344,MODEL_35(3),1.2631,2.1785,0.727,1.8444,2.3932,3.9811,1.4011,3.5652
345,TypeLNew40,1.2632,2.2172,0.7114,1.8506,2.3679,4.052,1.3636,3.4848
346,rlennh0020,1.2634,2.1719,0.7325,1.8371,2.3644,3.9139,1.4093,3.4737
347,1gatxing-xy6-noD-2lay-e62,1.2635,2.2267,0.7288,1.7975,2.3309,4.0201,1.379,3.3046
348,1gatxing-xy6-noD-2lay-e54,1.2635,2.2336,0.7298,1.7887,2.3373,4.0543,1.3872,3.281
349,4_271,1.2636,2.1587,0.7444,1.8187,2.3559,3.8953,1.4167,3.4325
350,9_195,1.2637,2.2189,0.7276,1.8089,2.3675,4.0118,1.4034,3.4146
351,Expt49,1.2637,2.2147,0.7261,1.8164,2.3564,3.9678,1.4071,3.394
352,1gatxing-xy6-WS-2lay-e49,1.2638,2.1963,0.7276,1.8297,2.3365,3.9342,1.3853,3.3917
353,own_40(2),1.2639,2.2247,0.7201,1.8243,2.3717,4.0479,1.3817,3.4578
354,MODEL_40,1.2639,2.2247,0.7201,1.8243,2.3717,4.0479,1.3817,3.4578
355,1xing-xy6-WS-2l-allin-e45,1.264,2.2271,0.7195,1.8239,2.3413,4.0297,1.362,3.388
356,1gatxing-xy6-noD-2lay-e37,1.2641,2.2206,0.7249,1.8161,2.3373,4.0237,1.3733,3.3456
357,1xing-xy6-WS-2l-allin-e65,1.2646,2.2056,0.7255,1.8304,2.3421,3.9657,1.3824,3.3962
358,A-GCN+,1.265,2.1957,0.7255,1.8411,2.3688,3.9807,1.4022,3.4518
359,DGGCN1,1.2651,2.2089,0.7473,1.7721,2.3757,3.9929,1.4547,3.3335
360,rlennh018,1.2652,2.1977,0.7246,1.8427,2.3624,3.9486,1.3886,3.4875
361,DGCGN,1.2652,2.1599,0.7776,1.7372,2.3701,3.9076,1.5079,3.2455
362,MODEL_25,1.2654,2.2171,0.7245,1.8262,2.3729,4.0354,1.3889,3.4557
363,MODEL_45(3),1.2655,2.1686,0.7417,1.8256,2.3956,3.9463,1.4374,3.5119
364,xriver007_1all_e50load,1.2655,2.2522,0.7224,1.8001,2.3669,4.0828,1.3805,3.4074
365,dggccc,1.2655,2.1932,0.7867,1.6844,2.3904,4.022,1.5427,3.1418
366,8_287,1.2656,2.1644,0.7533,1.799,2.3664,3.8928,1.4474,3.4017
367,8_288,1.2656,2.1644,0.7533,1.799,2.3664,3.8928,1.4474,3.4017
368,glen016,1.2656,2.1876,0.7278,1.8454,2.3653,3.9327,1.3868,3.52
369,f_n44,1.2657,2.0664,0.775,1.8314,2.3545,3.6711,1.4853,3.4493
370,GNN_40,1.2658,2.1251,0.7925,1.7322,2.3832,3.8743,1.5304,3.2761
371,GNN_46,1.266,2.1054,0.7801,1.7838,2.3856,3.8483,1.5029,3.3831
372,rlennh019,1.266,2.187,0.727,1.8498,2.3552,3.9108,1.3929,3.478
373,ffff,1.2662,2.2513,0.7121,1.8316,2.4861,4.3556,1.3998,3.6503
374,glen022,1.2666,2.1546,0.7391,1.85,2.3736,3.8799,1.4172,3.5258
375,G-LSTM_simple,1.2668,2.2291,0.7175,1.84,2.3724,4.0465,1.3753,3.479
376,v-lstm,1.2668,2.1592,0.7451,1.831,2.353,3.8549,1.4366,3.4038
377,1gatxing-xy6-noD-2lay-e32,1.2668,2.2442,0.7206,1.8181,2.3439,4.0683,1.3653,3.3561
378,GNN_44,1.267,2.1458,0.7724,1.7719,2.3795,3.927,1.4723,3.3645
379,Panda,1.2671,2.2281,0.7195,1.8373,2.3738,4.029,1.3773,3.4964
380,MODEL_40(3),1.2671,2.1693,0.743,1.8288,2.4033,3.9619,1.4376,3.5323
381,gripgatxing-seq3m1-e32,1.2671,2.197,0.7175,1.8705,2.3637,3.9362,1.3757,3.5389
382,1gatxing-onehot9-2lay-e56,1.2672,2.2217,0.7332,1.8075,2.3435,4.0031,1.3923,3.3424
383,undefined_49,1.2673,2.1737,0.7487,1.8104,2.3764,3.9429,1.4337,3.4376
384,st-lstm-p13,1.2674,2.2555,0.7084,1.8429,2.3602,4.0912,1.3491,3.4524
385,stf1,1.2674,2.1504,0.7474,1.8355,2.4086,3.9123,1.4634,3.5335
386,sl_test,1.2675,2.2082,0.7365,1.8124,2.3582,3.9653,1.4098,3.3976
387,15_259,1.2675,2.1799,0.7403,1.8278,2.3748,3.9126,1.4362,3.4512
388,Expt50,1.2675,1.9575,0.856,1.7251,2.3928,3.5261,1.6969,3.1971
389,GNN_UAH,1.2677,2.212,0.7324,1.8206,2.3504,3.9343,1.4141,3.3791
390,23_200,1.2678,2.1515,0.765,1.7901,2.3611,3.8411,1.4678,3.3705
391,23_124,1.2678,2.1515,0.765,1.7901,2.3611,3.8411,1.4678,3.3705
392,own_80,1.2679,2.2044,0.7214,1.8575,2.3485,3.9334,1.3686,3.4911
393,15_262,1.2679,2.1817,0.7367,1.8378,2.3753,3.9018,1.4213,3.5027
394,v-lstm1,1.268,2.1656,0.7387,1.8473,2.3536,3.8378,1.421,3.4631
395,vi_iu_grip_aug,1.2681,2.1997,0.7411,1.8107,2.3543,3.9433,1.4089,3.4024
396,xriver007_1all_e10load,1.2681,2.2136,0.732,1.8218,2.3627,3.9671,1.4047,3.4297
397,xriver007_my16_train_1all,1.2683,2.2264,0.7113,1.8659,2.3623,4.0255,1.3562,3.5026
398,xriver007_1all_e16load,1.2684,2.2158,0.7286,1.8303,2.3717,3.9783,1.3945,3.4876
399,xriver007_1all_e18load,1.2684,2.2158,0.7286,1.8303,2.3717,3.9783,1.3945,3.4876
400,wasb,1.2685,2.1881,0.763,1.7653,2.3891,3.9848,1.482,3.3298
401,own_40(1),1.2686,2.2269,0.7227,1.8367,2.3834,4.0368,1.3989,3.4758
402,st_neighbor,1.2686,2.1893,0.7463,1.8088,2.3548,3.9538,1.415,3.3788
403,6_289,1.2686,2.1102,0.7565,1.8535,2.371,3.779,1.4575,3.4994
404,bl9532,1.2686,2.1579,0.7574,1.808,2.3888,3.9368,1.459,3.4326
405,fsfsdfsd,1.2688,2.1778,0.7858,1.7158,2.3653,3.9635,1.4983,3.1982
406,sadsaddas,1.2688,2.1778,0.7858,1.7158,2.3653,3.9635,1.4983,3.1982
407,sdfg,1.2688,2.1778,0.7858,1.7158,2.3653,3.9635,1.4983,3.1982
408,TypeLW50,1.2692,2.1675,0.7425,1.8412,2.3685,3.8883,1.4248,3.475
409,lanni-f5,1.2693,2.1926,0.7381,1.8305,2.3585,3.9527,1.4056,3.4213
410,1gatxing-xy6-noD-2lay-e79,1.2693,2.1956,0.7404,1.8214,2.3504,3.9883,1.4122,3.3348
411,GNN_49,1.2696,2.1609,0.7677,1.7827,2.3989,3.9403,1.485,3.4069
412,1gatxing-onehot9-2lay-e62,1.2696,2.2068,0.7391,1.8164,2.3472,3.9844,1.4081,3.3348
413,lanni-f4,1.2697,2.1994,0.736,1.8316,2.3579,3.9636,1.4019,3.4185
414,1gatxing-xy6-noD-2lay-e49,1.2697,2.208,0.7232,1.8574,2.3406,4.0098,1.3654,3.3942
415,1gatxing-xy6-WS-2lay-e32,1.2697,2.2275,0.7235,1.8388,2.3517,4.0223,1.3717,3.4165
416,glen029,1.2699,2.1222,0.772,1.8076,2.3655,3.829,1.4887,3.3465
417,TypeL4G50,1.27,2.1821,0.726,1.8751,2.39,3.9598,1.3906,3.5976
418,2_102,1.2701,2.2111,0.7296,1.8396,2.3595,3.9666,1.3942,3.4433
419,xriver007_my16,1.2701,2.2294,0.7231,1.8399,2.3736,4.0303,1.3821,3.4814
420,glen034,1.2702,2.1382,0.7553,1.8385,2.3761,3.8895,1.439,3.4708
